gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,tenure_group,services_count,has_internet,avg_charge_per_month
Male,0,Yes,No,59,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No,No,No,Two year,No,Mailed check,43.78,2583.02,loyal,2,1,43.78
Male,0,No,Yes,17,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Electronic check,21.11,358.87,mid,2,1,21.11
Female,0,No,No,17,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Electronic check,28.24,480.08,mid,3,1,28.24
Male,0,Yes,Yes,40,Yes,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Electronic check,40.47,1618.8,loyal,3,1,40.47
Female,1,No,Yes,13,Yes,No,DSL,Yes,Yes,No internet service,No,Yes,No,Month-to-month,No,Mailed check,64.21,834.73,mid,3,1,64.21000000000001
Female,1,Yes,No,6,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),26.05,156.3,new,3,1,26.05
Female,0,Yes,No,63,Yes,Yes,No,Yes,Yes,No,No internet service,No,Yes,Month-to-month,Yes,Electronic check,105.96,6675.48,loyal,3,0,105.96
Male,0,No,No,39,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,116.33,4536.87,loyal,3,1,116.33
Female,0,No,No,43,Yes,Yes,Fiber optic,No,No internet service,No,No,No internet service,No internet service,Month-to-month,No,Electronic check,104.82,4507.26,loyal,0,1,104.82000000000001
Male,0,No,No,68,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.12,6740.16,loyal,3,1,99.12
Female,0,Yes,No,44,No,No,No,No internet service,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),91.68,4033.92,loyal,1,0,91.68
Male,0,No,No,4,Yes,Yes,No,No,No,Yes,Yes,No,Yes,One year,No,Mailed check,28.08,112.32,new,3,0,28.08
Female,0,No,No,5,No,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,29.02,145.1,new,2,1,29.02
Female,1,No,No,20,Yes,Yes,Fiber optic,No,No internet service,Yes,No,Yes,Yes,Two year,No,Electronic check,36.26,725.2,mid,3,1,36.260000000000005
Male,0,No,No,48,Yes,No,DSL,Yes,No,Yes,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),23.57,1131.36,loyal,2,1,23.569999999999997
Female,1,No,Yes,69,Yes,No,Fiber optic,No,No,No internet service,No,No,No,One year,Yes,Electronic check,67.07,4627.83,loyal,0,1,67.07
Female,0,No,No,59,Yes,No,No,Yes,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),76.49,4512.91,loyal,1,0,76.49
Male,1,No,No,61,Yes,No,DSL,No,No,No internet service,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),106.31,6484.91,loyal,2,1,106.31
Female,1,Yes,Yes,0,Yes,No,Fiber optic,No internet service,No internet service,No,Yes,No,No,Month-to-month,No,Mailed check,46.49,0.0,new,1,1,0.0
Female,0,No,No,13,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,No,Mailed check,53.31,693.03,mid,1,1,53.309999999999995
Female,0,Yes,No,66,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),110.36,7283.76,loyal,1,1,110.36
Female,0,Yes,No,18,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),60.91,1096.38,mid,2,1,60.910000000000004
Female,0,No,No,2,Yes,No,DSL,Yes,No,No,No internet service,No,Yes,Month-to-month,Yes,Electronic check,106.67,213.34,new,2,1,106.67
Male,0,No,Yes,22,Yes,No,DSL,No,Yes,Yes,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),76.65,1686.3,mid,2,1,76.64999999999999
Male,0,No,No,69,Yes,No,No,No,Yes,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),80.13,5528.97,loyal,1,0,80.13000000000001
Male,0,No,No,53,Yes,No,Fiber optic,No,No,No internet service,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),107.07,5674.71,loyal,3,1,107.07000000000001
Male,0,No,Yes,25,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),19.62,490.5,mid,4,1,19.62
Male,1,No,No,45,Yes,Yes,Fiber optic,No,No,Yes,No internet service,Yes,Yes,One year,No,Bank transfer (automatic),45.38,2042.1,loyal,3,1,45.379999999999995
Female,0,Yes,No,9,Yes,Yes,DSL,No,No,No internet service,No,No internet service,No internet service,One year,No,Bank transfer (automatic),57.12,514.08,new,0,1,57.120000000000005
Male,0,No,No,22,Yes,No,DSL,No,Yes,Yes,No internet service,No internet service,No internet service,One year,No,Electronic check,32.72,719.84,mid,2,1,32.72
Male,0,No,Yes,9,Yes,No,Fiber optic,No,Yes,Yes,Yes,No internet service,Yes,One year,No,Mailed check,88.79,799.11,new,4,1,88.79
Female,0,No,No,54,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),22.16,1196.64,loyal,3,1,22.16
Female,0,Yes,No,69,Yes,No,No,Yes,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,85.69,5912.61,loyal,3,0,85.69
Male,1,No,Yes,32,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No,Yes,Yes,One year,No,Mailed check,37.58,1202.56,mid,4,1,37.58
Female,0,Yes,Yes,49,Yes,No,Fiber optic,Yes,No,Yes,Yes,No internet service,Yes,One year,No,Mailed check,64.37,3154.13,loyal,4,1,64.37
Female,0,Yes,Yes,9,Yes,No,Fiber optic,No,No,Yes,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,89.67,807.03,new,2,1,89.67
Male,0,No,No,40,Yes,No,Fiber optic,Yes,No,No,No internet service,No,No,Month-to-month,Yes,Electronic check,41.19,1647.6,loyal,1,1,41.19
Female,0,Yes,Yes,61,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,No,Two year,No,Mailed check,31.45,1918.45,loyal,3,1,31.45
Male,0,No,No,2,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,25.83,51.66,new,2,1,25.83
Female,0,Yes,Yes,58,Yes,No,DSL,No internet service,No internet service,Yes,No,No,No,Two year,Yes,Electronic check,89.73,5204.34,loyal,1,1,89.73
Male,1,No,No,53,Yes,No,DSL,No internet service,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),81.03,4294.59,loyal,2,1,81.03
Male,0,No,Yes,49,Yes,Yes,No,No,Yes,No,No internet service,No,No,Month-to-month,Yes,Mailed check,75.59,3703.91,loyal,1,0,75.59
Female,0,Yes,No,18,Yes,Yes,Fiber optic,No,No,No,No internet service,No,Yes,Month-to-month,No,Electronic check,32.39,583.02,mid,1,1,32.39
Female,1,No,Yes,66,Yes,Yes,DSL,Yes,No,No,Yes,No internet service,Yes,One year,Yes,Electronic check,63.48,4189.68,loyal,3,1,63.480000000000004
Male,0,Yes,No,13,Yes,No,DSL,No,No,No,No,No,No internet service,One year,Yes,Mailed check,54.92,713.96,mid,0,1,54.92
Male,0,Yes,No,44,Yes,No,No,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,58.05,2554.2,loyal,3,0,58.05
Male,0,Yes,Yes,6,Yes,No,Fiber optic,Yes,No internet service,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),83.62,501.72,new,4,1,83.62
Male,1,Yes,No,38,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),77.81,2956.78,loyal,3,1,77.81
Female,1,No,No,19,Yes,No,Fiber optic,No,No,Yes,Yes,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),111.0,2109.0,mid,2,1,111.0
Male,0,Yes,Yes,45,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,No,No internet service,Month-to-month,Yes,Electronic check,30.36,1366.2,loyal,1,1,30.36
Male,0,Yes,Yes,57,Yes,No,Fiber optic,No,No,No,No internet service,No,No,Month-to-month,No,Electronic check,60.96,3474.72,loyal,0,1,60.959999999999994
Female,0,Yes,No,37,Yes,No,No,No,No internet service,Yes,Yes,Yes,No internet service,One year,Yes,Mailed check,119.4,4417.8,loyal,3,0,119.4
Female,0,No,Yes,54,Yes,Yes,DSL,No internet service,No,Yes,No,No,No internet service,Two year,Yes,Bank transfer (automatic),97.06,5241.24,loyal,1,1,97.06
Male,0,Yes,No,40,Yes,Yes,No,Yes,No,No internet service,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic),106.71,4268.4,loyal,2,0,106.71
Female,0,No,No,66,Yes,Yes,DSL,Yes,No internet service,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),57.8,3814.8,loyal,3,1,57.800000000000004
Male,0,Yes,No,61,Yes,Yes,Fiber optic,No internet service,Yes,No,Yes,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),90.28,5507.08,loyal,2,1,90.28
Male,0,Yes,No,24,Yes,Yes,Fiber optic,No,No,No,No,No internet service,Yes,One year,No,Electronic check,115.76,2778.24,mid,1,1,115.75999999999999
Male,0,No,No,71,Yes,Yes,DSL,No internet service,No,Yes,No,Yes,No internet service,Two year,Yes,Mailed check,81.54,5789.34,loyal,2,1,81.54
Female,0,No,No,17,Yes,Yes,Fiber optic,No,No internet service,No,No,No,Yes,Two year,Yes,Electronic check,18.76,318.92,mid,1,1,18.76
Male,1,Yes,No,7,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),95.8,670.6,new,5,1,95.8
Male,0,No,Yes,32,No,No,Fiber optic,No,No internet service,No internet service,Yes,No,Yes,Month-to-month,No,Credit card (automatic),48.24,1543.68,mid,2,1,48.24
Female,0,Yes,No,70,Yes,No,Fiber optic,No,No internet service,No,Yes,No internet service,No,Two year,Yes,Credit card (automatic),93.41,6538.7,loyal,1,1,93.41
Female,1,No,Yes,70,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,78.23,5476.1,loyal,3,1,78.23
Male,0,No,Yes,70,Yes,No,DSL,No internet service,No internet service,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),110.59,7741.3,loyal,2,1,110.59
Female,0,No,Yes,45,Yes,No,No,Yes,No,No internet service,No,No internet service,No internet service,One year,No,Credit card (automatic),83.82,3771.9,loyal,1,0,83.82000000000001
Male,0,Yes,No,3,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,46.02,138.06,new,3,0,46.02
Female,0,Yes,No,38,Yes,No phone service,Fiber optic,No,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,73.42,2789.96,loyal,2,1,73.42
Female,0,No,No,4,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No,Yes,No,Month-to-month,Yes,Mailed check,36.14,144.56,new,1,1,36.14
Male,0,No,Yes,2,Yes,Yes,Fiber optic,No internet service,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,98.3,196.6,new,4,1,98.3
Female,0,Yes,No,7,Yes,Yes,DSL,Yes,No,No internet service,No,No,Yes,Month-to-month,Yes,Credit card (automatic),90.73,635.11,new,2,1,90.73
Male,0,No,No,4,Yes,No,Fiber optic,No,No,Yes,No,Yes,No internet service,Two year,No,Electronic check,104.61,418.44,new,2,1,104.61
Female,1,No,No,72,Yes,Yes,No,No,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,93.37,6722.64,loyal,3,0,93.37
Male,0,No,No,33,Yes,No,Fiber optic,No,No internet service,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),95.24,3142.92,mid,2,1,95.24000000000001
Male,0,Yes,No,15,Yes,Yes,Fiber optic,No,No internet service,Yes,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),80.42,1206.3,mid,2,1,80.42
Female,1,No,No,37,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),53.09,1964.33,loyal,2,1,53.089999999999996
Female,0,Yes,Yes,69,No,Yes,Fiber optic,Yes,No internet service,No internet service,Yes,No internet service,Yes,Month-to-month,No,Electronic check,18.38,1268.22,loyal,3,1,18.38
Male,0,No,Yes,36,Yes,Yes,Fiber optic,No,No,No,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),60.46,2176.56,mid,1,1,60.46
Male,1,No,No,34,Yes,No,Fiber optic,Yes,No,No internet service,No,No,Yes,Month-to-month,Yes,Electronic check,24.86,845.24,mid,2,1,24.86
Male,1,No,No,19,Yes,No,No,No,Yes,No internet service,No,No,No,Month-to-month,No,Mailed check,37.13,705.47,mid,1,0,37.13
Male,0,Yes,No,26,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,68.42,1778.92,mid,2,1,68.42
Female,0,Yes,No,28,Yes,Yes,No,No,No internet service,No,Yes,No,No internet service,Month-to-month,Yes,Electronic check,34.41,963.48,mid,1,0,34.410000000000004
Female,0,Yes,No,32,Yes,Yes,Fiber optic,No internet service,No,Yes,No internet service,Yes,No,One year,Yes,Bank transfer (automatic),108.98,3487.36,mid,2,1,108.98
Female,0,No,Yes,31,Yes,Yes,Fiber optic,No,Yes,No internet service,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),54.28,1682.68,mid,3,1,54.28
Male,0,No,No,52,Yes,Yes,No,No,No,Yes,Yes,No,No internet service,Month-to-month,No,Electronic check,48.58,2526.16,loyal,2,0,48.58
Male,1,No,No,64,Yes,No,No,Yes,Yes,Yes,No internet service,Yes,No,Two year,Yes,Bank transfer (automatic),34.09,2181.76,loyal,4,0,34.09
Male,1,No,No,66,Yes,Yes,No,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,104.6,6903.6,loyal,2,0,104.60000000000001
Female,0,No,No,40,Yes,No,Fiber optic,Yes,No,No internet service,Yes,No,No internet service,Month-to-month,No,Credit card (automatic),82.62,3304.8,loyal,2,1,82.62
Male,0,No,No,70,Yes,No,No,Yes,Yes,Yes,No,No internet service,Yes,One year,No,Mailed check,26.98,1888.6,loyal,4,0,26.98
Male,0,Yes,Yes,30,No,No phone service,DSL,No,No,No internet service,Yes,No,Yes,One year,No,Electronic check,21.57,647.1,mid,2,1,21.57
Male,0,No,No,37,Yes,No,Fiber optic,Yes,Yes,No,Yes,No internet service,No,Two year,No,Mailed check,106.13,3926.81,loyal,3,1,106.13
Female,1,Yes,No,53,Yes,No,DSL,Yes,No,No internet service,No,Yes,No internet service,Month-to-month,No,Electronic check,91.99,4875.47,loyal,2,1,91.99000000000001
Male,0,Yes,No,18,Yes,No,Fiber optic,No internet service,Yes,No internet service,No,Yes,No internet service,Two year,No,Credit card (automatic),22.46,404.28,mid,2,1,22.459999999999997
Male,1,Yes,No,57,Yes,No,No,Yes,No internet service,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),114.68,6536.76,loyal,4,0,114.68
Female,0,No,No,62,Yes,No phone service,No,No,No internet service,No,No,Yes,No,Month-to-month,Yes,Electronic check,47.07,2918.34,loyal,1,0,47.07
Male,0,Yes,No,43,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,119.59,5142.37,loyal,3,1,119.59
Male,0,Yes,No,56,Yes,No,Fiber optic,No,No internet service,No,No internet service,No,No,Two year,Yes,Credit card (automatic),71.36,3996.16,loyal,0,1,71.36
Male,0,Yes,No,12,Yes,Yes,No,Yes,No,No,No internet service,No internet service,Yes,One year,No,Mailed check,91.42,1097.04,new,2,0,91.42
Male,0,Yes,No,34,Yes,Yes,DSL,No internet service,Yes,Yes,Yes,Yes,No internet service,One year,Yes,Credit card (automatic),96.72,3288.48,mid,4,1,96.72
Female,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),93.41,93.41,new,1,1,93.41
Female,0,Yes,No,44,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Two year,No,Credit card (automatic),90.8,3995.2,loyal,3,1,90.8
Female,0,No,No,71,Yes,No phone service,No,No,Yes,No internet service,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),59.62,4233.02,loyal,2,0,59.620000000000005
Female,0,Yes,Yes,9,Yes,Yes,Fiber optic,No,No,No,No internet service,No,No internet service,Month-to-month,No,Credit card (automatic),31.74,285.66,new,0,1,31.740000000000002
Male,0,Yes,No,64,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,No,No internet service,Month-to-month,Yes,Mailed check,108.94,6972.16,loyal,0,1,108.94
Female,0,No,No,7,Yes,No phone service,Fiber optic,No,Yes,No internet service,No,Yes,No,Month-to-month,Yes,Mailed check,100.27,701.89,new,2,1,100.27
Female,0,Yes,No,45,Yes,No,No,Yes,Yes,Yes,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),68.45,3080.25,loyal,3,0,68.45
Female,1,No,No,0,Yes,No phone service,DSL,No,No,No internet service,No,No,Yes,Month-to-month,Yes,Mailed check,106.87,0.0,new,1,1,0.0
Female,0,Yes,Yes,48,Yes,No,DSL,No,Yes,Yes,No,No,No internet service,Two year,Yes,Electronic check,77.19,3705.12,loyal,2,1,77.19
Female,0,Yes,No,61,Yes,Yes,No,No,No,Yes,No internet service,No internet service,No,Two year,No,Electronic check,82.49,5031.89,loyal,1,0,82.49000000000001
Female,0,No,No,8,Yes,No,Fiber optic,Yes,No,Yes,No internet service,Yes,Yes,Two year,Yes,Electronic check,102.85,822.8,new,4,1,102.85
Female,0,No,No,71,No,No,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),51.16,3632.36,loyal,3,1,51.160000000000004
Male,1,No,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No internet service,Month-to-month,Yes,Mailed check,55.63,3782.84,loyal,3,1,55.63
Male,0,Yes,No,0,Yes,No,DSL,Yes,Yes,No internet service,No,Yes,No,Two year,Yes,Credit card (automatic),116.15,0.0,new,3,1,0.0
Female,1,No,Yes,10,Yes,No,No,Yes,No,No,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,30.49,304.9,new,2,0,30.49
Female,0,No,No,61,Yes,No,Fiber optic,No,No,Yes,No,Yes,No internet service,One year,Yes,Credit card (automatic),60.04,3662.44,loyal,2,1,60.04
Male,0,Yes,No,5,Yes,No,Fiber optic,No,No,No,No,Yes,No internet service,One year,Yes,Electronic check,111.67,558.35,new,1,1,111.67
Female,0,Yes,Yes,59,Yes,No,DSL,No,No,No,No internet service,Yes,No internet service,Month-to-month,No,Credit card (automatic),92.44,5453.96,loyal,1,1,92.44
Female,0,Yes,No,5,Yes,Yes,DSL,No,No internet service,No,No internet service,No,No,Month-to-month,No,Credit card (automatic),36.82,184.1,new,0,1,36.82
Male,0,No,No,25,Yes,Yes,DSL,No internet service,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,34.63,865.75,mid,3,1,34.63
Male,0,Yes,Yes,25,Yes,No,Fiber optic,No internet service,Yes,Yes,No internet service,No,Yes,Month-to-month,Yes,Mailed check,113.21,2830.25,mid,3,1,113.21
Male,0,Yes,No,52,Yes,No,Fiber optic,Yes,No,No internet service,Yes,Yes,No,One year,Yes,Electronic check,93.17,4844.84,loyal,3,1,93.17
Male,0,Yes,No,13,Yes,Yes,Fiber optic,No internet service,No,No,No internet service,Yes,No,Month-to-month,No,Credit card (automatic),92.74,1205.62,mid,1,1,92.74
Female,0,No,No,65,Yes,No,No,No,No internet service,No internet service,No internet service,No,No internet service,Two year,Yes,Electronic check,110.26,7166.9,loyal,0,0,110.25999999999999
Male,0,No,Yes,71,Yes,Yes,Fiber optic,No,Yes,No,No internet service,No,No,Month-to-month,Yes,Electronic check,115.92,8230.32,loyal,1,1,115.92
Male,0,Yes,No,36,Yes,No,Fiber optic,No internet service,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,114.66,4127.76,mid,2,1,114.66000000000001
Male,0,Yes,No,11,Yes,Yes,No,No internet service,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),25.92,285.12,new,2,0,25.92
Male,0,Yes,Yes,36,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,92.41,3326.76,mid,5,1,92.41000000000001
Female,0,Yes,No,3,Yes,Yes,DSL,No internet service,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,25.86,77.58,new,4,1,25.86
Male,0,Yes,No,42,Yes,Yes,DSL,Yes,No internet service,No,No,Yes,No,One year,Yes,Bank transfer (automatic),19.43,816.06,loyal,2,1,19.43
Female,0,Yes,No,59,Yes,No,Fiber optic,No,No,No,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),49.47,2918.73,loyal,1,1,49.47
Female,0,No,No,14,Yes,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,51.63,722.82,mid,3,1,51.63
Female,0,Yes,No,67,Yes,No,DSL,No,No,No,Yes,No internet service,Yes,Two year,Yes,Bank transfer (automatic),109.03,7305.01,loyal,2,1,109.03
Male,0,No,No,16,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Electronic check,110.69,1771.04,mid,1,1,110.69
Male,0,Yes,No,30,Yes,No,DSL,No internet service,No internet service,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,100.16,3004.8,mid,3,1,100.16000000000001
Female,0,No,No,14,Yes,Yes,Fiber optic,No internet service,No,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Mailed check,80.53,1127.42,mid,1,1,80.53
Male,0,No,Yes,61,Yes,Yes,Fiber optic,No internet service,No,Yes,No,Yes,Yes,One year,No,Mailed check,91.94,5608.34,loyal,3,1,91.94
Male,0,Yes,No,34,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,18.71,636.14,mid,3,1,18.71
Male,0,Yes,No,5,Yes,No,DSL,No,Yes,No,No,No internet service,Yes,Month-to-month,Yes,Electronic check,98.48,492.4,new,2,1,98.47999999999999
Female,1,No,Yes,14,Yes,No,DSL,Yes,Yes,No,No internet service,No,Yes,Two year,Yes,Electronic check,67.17,940.38,mid,3,1,67.17
Female,0,Yes,No,23,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Electronic check,47.55,1093.65,mid,1,1,47.550000000000004
Male,0,Yes,No,20,Yes,Yes,DSL,Yes,Yes,No,No,No,No internet service,Two year,Yes,Credit card (automatic),25.92,518.4,mid,2,1,25.919999999999998
Female,0,No,No,25,Yes,Yes,Fiber optic,No internet service,No internet service,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),30.02,750.5,mid,2,1,30.02
Male,0,No,No,23,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),39.6,910.8,mid,3,1,39.6
Female,0,No,No,14,Yes,No,No,No,No,No internet service,No,No,No internet service,Month-to-month,No,Mailed check,83.97,1175.58,mid,0,0,83.97
Male,0,No,Yes,58,Yes,Yes,DSL,Yes,No internet service,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),106.32,6166.56,loyal,3,1,106.32000000000001
Male,0,Yes,Yes,1,Yes,Yes,DSL,No,Yes,No,Yes,No internet service,Yes,One year,Yes,Mailed check,46.73,46.73,new,3,1,46.73
Female,0,Yes,No,1,Yes,No,No,No internet service,No,No,Yes,Yes,No,One year,No,Credit card (automatic),89.82,89.82,new,2,0,89.82
Female,0,No,Yes,56,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),40.24,2253.44,loyal,4,0,40.24
Female,1,Yes,No,50,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Two year,No,Electronic check,92.21,4610.5,loyal,4,0,92.21
Female,0,No,No,51,Yes,Yes,Fiber optic,No,No,No internet service,No,Yes,No,Month-to-month,No,Electronic check,54.18,2763.18,loyal,1,1,54.18
Male,0,No,Yes,37,Yes,No phone service,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,114.62,4240.94,loyal,4,1,114.61999999999999
Female,0,Yes,No,64,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,75.21,4813.44,loyal,3,1,75.21
Female,0,Yes,Yes,42,Yes,No,Fiber optic,No,Yes,No internet service,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),27.97,1174.74,loyal,3,1,27.97
Female,0,Yes,Yes,5,Yes,Yes,DSL,No,Yes,No,Yes,No internet service,Yes,Two year,Yes,Credit card (automatic),57.31,286.55,new,3,1,57.31
Female,0,No,No,44,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),31.93,1404.92,loyal,2,1,31.930000000000003
Female,0,No,No,19,Yes,No,Fiber optic,Yes,Yes,Yes,No internet service,No,No,Two year,Yes,Electronic check,29.4,558.6,mid,3,1,29.400000000000002
Male,1,Yes,Yes,38,Yes,No phone service,DSL,No,No internet service,Yes,No,No,Yes,Two year,No,Electronic check,19.82,753.16,loyal,2,1,19.82
Male,1,No,No,53,Yes,No,No,No,No,No internet service,Yes,No,Yes,Two year,No,Credit card (automatic),80.94,4289.82,loyal,2,0,80.94
Male,0,Yes,No,67,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),112.21,7518.07,loyal,2,1,112.21
Male,0,Yes,No,38,Yes,No,Fiber optic,Yes,No internet service,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,38.23,1452.74,loyal,4,1,38.23
Female,0,Yes,Yes,3,Yes,No,DSL,Yes,Yes,No internet service,Yes,No,No,Month-to-month,Yes,Mailed check,113.41,340.23,new,3,1,113.41000000000001
Female,0,No,No,9,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,79.54,715.86,new,3,1,79.54
Male,0,Yes,No,49,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No internet service,Yes,Yes,Two year,Yes,Mailed check,64.77,3173.73,loyal,5,1,64.77
Male,1,Yes,No,69,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Credit card (automatic),68.42,4720.98,loyal,2,1,68.41999999999999
Female,0,No,No,41,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,69.39,2844.99,loyal,0,1,69.39
Female,0,Yes,No,22,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),29.78,655.16,mid,4,1,29.779999999999998
Male,0,Yes,No,0,No,No,DSL,No,Yes,No internet service,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),109.91,0.0,new,1,1,0.0
Male,0,No,No,64,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),44.56,2851.84,loyal,2,1,44.56
Female,0,Yes,No,50,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),46.17,2308.5,loyal,1,1,46.17
Female,0,Yes,No,10,Yes,Yes,Fiber optic,Yes,No internet service,No,No internet service,Yes,Yes,One year,Yes,Credit card (automatic),28.21,282.1,new,3,1,28.21
